	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
CIS-4-HYDROXY-D-PROLINE	-1.5153563022613525	-473.2362976074219	-67.445690888
CIS-ACONITATE	-3.596722364425659	-558.409912109375	-799.96067496
CIS-CIS-MUCONATE	-1.8810205459594727	-488.20001220703125	-347.62243092
CIS-P-COUMARATE	-1.1014177799224854	-456.297119140625	-0.68708710784
CIT	-4.79871129989624	-607.59765625	-965.21917728
CLAVAMINATE	-2.7497305870056152	-523.7493286132812	-77.398970832
CO3	4.1997904777526855	-239.36117553710938	-351.23941524
COUMARALDEHYDE	-0.23191118240356445	-420.7151794433594	264.08977048
COUMARATE	-1.1014182567596436	-456.297119140625	-0.68708710784
COUMARIN	-0.08626900613307953	-414.7552185058594	164.25011648
COUMARYL-ALCOHOL	-0.1069006621837616	-415.5994873046875	316.85938264
CPD-10012	-1.7065513134002686	-481.06036376953125	584.0667352
CPD-1008	-2.0504071712493896	-495.1316223144531	15.1890107688
CPD-10085	0.599834680557251	-386.6784973144531	506.45514604
CPD-10086	0.5966697931289673	-386.8080139160156	506.45514604
CPD-10087	0.5082865357398987	-390.4248352050781	599.1820628
CPD-10089	0.5169498920440674	-390.0703125	580.39581912
CPD-10093	-0.4089452028274536	-427.9597473144531	375.88194096
CPD-10094	0.7796429395675659	-379.32037353515625	341.8890748
CPD-10095	2.239675998687744	-319.57293701171875	298.36610264
CPD-10096	0.6210994124412537	-385.80828857421875	383.62665048
CPD-10097	0.1993332803249359	-403.06781005859375	578.26670704
CPD-10098	2.0439035892486572	-327.5843505859375	678.75308192
CPD-10099	0.45254290103912354	-392.7059631347656	400.38605996
CPD-101	0.0824027955532074	-407.85284423828125	199.205285904
CPD-10147	-2.9877851009368896	-533.490966796875	57.026585304
CPD-10148	-3.9374606609344482	-572.3535766601562	534.60712728
CPD-10149	-3.935331106185913	-572.2664794921875	66.299145184
CPD-10150	4.060148239135742	-245.07562255859375	209.596082544
CPD-10151	-2.1250593662261963	-498.1865539550781	223.717208064
CPD-10152	-2.1290762424468994	-498.3509216308594	223.717208064
CPD-10188	-4.2906389236450195	-586.8063354492188	-776.64173672
CPD-10189	-2.393217086791992	-509.16009521484375	-400.38926072
CPD-10194	-0.18024849891662598	-418.6010437011719	587.002648
CPD-102	-1.1371636390686035	-457.7598876953125	-16.023636344
CPD-10201	-1.244934320449829	-462.17010498046875	-32.964890832
CPD-10204	-0.07705982029438019	-414.37835693359375	-203.31428352
CPD-10205	-1.5815269947052002	-475.9441223144531	-137.876515152
CPD-10206	-1.0707590579986572	-455.04248046875	-42.388279728
CPD-10207	-1.0896027088165283	-455.8135986328125	50.338549168
CPD-10208	-1.1309590339660645	-457.5059814453125	143.065365512
CPD-10209	-1.28090238571167	-463.6419677734375	152.488737672
CPD-10210	-1.3156852722167969	-465.06536865234375	59.76193388
CPD-10211	-1.2392499446868896	-461.9374694824219	-78.998267176
CPD-10214	-1.1920685768127441	-460.0067138671875	68.246048248
CPD-1022	2.899042844772339	-292.59033203125	335.89264968
CPD-10224	-3.382972240447998	-549.662841796875	-165.462066472
CPD-10229	-3.4608402252197266	-552.849365234375	-277.22217496
CPD-1023	-1.1022920608520508	-456.3328857421875	183.980969288
CPD-10230	-2.4238710403442383	-510.4145202636719	-210.412966704
CPD-10231	-1.4216501712799072	-469.4016418457031	-113.617934192
CPD-10271	-1.255988597869873	-462.6224365234375	55.736670656
CPD-10272	-2.427159070968628	-510.549072265625	-161.831329344
CPD-10273	1.376704216003418	-354.887451171875	350.12686872
CPD-10274	1.376704216003418	-354.887451171875	350.12686872
CPD-10275	3.7799203395843506	-256.5430908203125	424.006961664
CPD-103	-0.2693735361099243	-422.2481994628906	302.03865048
CPD-10303	-0.6485899090766907	-437.7665100097656	-133.4691816
CPD-10329	-2.9483351707458496	-531.8766479492188	-246.00480704
CPD-10330	-2.9054222106933594	-530.1205444335938	-309.06708012
CPD-10353	2.5335514545440674	-307.5469665527344	42.044865376
CPD-10354	1.1904270648956299	-362.5102844238281	121.257344984
CPD-1041	-0.6097301840782166	-436.17626953125	240.49671748
CPD-10447	-3.215566396713257	-542.812255859375	-235.526414176
CPD-10450	-2.83132266998291	-527.0882568359375	-90.303677848
CPD-10451	-3.3799970149993896	-549.5410766601562	-329.0063296
CPD-10453	-3.415266513824463	-550.984375	-329.0063296
CPD-10455	-2.866594076156616	-528.5316162109375	-90.303677848
CPD-10457	-3.222071409225464	-543.0784301757812	-235.526414176
CPD-10490	1.1419928073883057	-364.4923095703125	37.01545052
CPD-105	-1.9587013721466064	-491.37884521484375	-233.526729952
CPD-10523	-0.6303086876869202	-437.0184020996094	245.01541656
CPD-10543	-2.9483344554901123	-531.8765869140625	-246.00480704
CPD-10547	-1.3538711071014404	-466.62799072265625	26.433846744
CPD-10574	-0.16336590051651	-417.91015625	70.733779336
CPD-10595	0.6476590633392334	-384.721435546875	394.3051808
CPD-10596	0.5757951736450195	-387.6622314453125	388.2802208
CPD-10597	-0.2561326026916504	-421.70635986328125	229.120877536
CPD-10598	-0.23046058416366577	-420.65582275390625	170.24262956
CPD-10599	-1.9697251319885254	-491.8299560546875	-199.678119744
CPD-106	-1.9587013721466064	-491.37884521484375	-233.526729952
CPD-10601	-0.28038254380226135	-422.69873046875	370.34023296
CPD-10608	-2.0031042098999023	-493.1958923339844	-463.6236008
CPD-10613	-1.747084140777588	-482.71905517578125	-163.194434704
CPD-10640	0.7841878533363342	-379.1343994140625	-89.979087312
CPD-10651	-1.9807732105255127	-492.2820739746094	-384.49478864
CPD-10653	-1.9807732105255127	-492.2820739746094	-384.49478864
CPD-10656	-1.8860042095184326	-488.4039306640625	-264.81171968
CPD-10657	-1.899186611175537	-488.9433898925781	-264.81171968
CPD-10661	-0.894562304019928	-447.8321838378906	265.62412696
CPD-10664	-1.0308208465576172	-453.40814208984375	-94.450549032
CPD-10665	-0.9992691874504089	-452.1169738769531	-94.450549032
CPD-1067	-1.2499175071716309	-462.3740234375	284.113474
CPD-10687	0.28685152530670166	-399.48638916015625	123.135530032
CPD-10689	-0.13588115572929382	-416.7854309082031	1240.8840256
CPD-1069	-3.509788990020752	-554.8524169921875	-566.27481912
CPD-1070	-3.642927646636963	-560.3007202148438	-655.14645184
CPD-10705	-2.50697922706604	-513.8154296875	-315.235505296
CPD-1071	-1.3722994327545166	-467.3821105957031	-148.763559296
CPD-1072	-0.5186554789543152	-432.4493103027344	355.01746264
CPD-10723	-3.8081276416778564	-567.06103515625	-401.31488704
CPD-10725	-3.813209295272827	-567.2689819335938	-394.7878052
CPD-10726	-3.813209295272827	-567.2689819335938	-394.7878052
CPD-10727	-3.813209295272827	-567.2689819335938	-394.7878052
CPD-10728	-3.813209056854248	-567.2689819335938	-394.7878052
CPD-10729	-3.8081276416778564	-567.06103515625	-401.31488704
CPD-10730	-3.8081276416778564	-567.06103515625	-401.31488704
CPD-10732	-0.19646665453910828	-419.26470947265625	399.16799296
CPD-10734	-6.369839668273926	-671.891357421875	-745.98736784
CPD-1074	0.23993664979934692	-401.4062194824219	314.37672256
CPD-10745	-4.801867961883545	-607.7268676757812	-964.29873912
CPD-10747	-4.801867961883545	-607.7268676757812	-964.29873912
CPD-10748	-4.801867961883545	-607.7268676757812	-964.29873912
CPD-1075	0.31050926446914673	-398.51824951171875	372.95745048
CPD-1076	-1.015859603881836	-452.7958984375	-26.335008112
CPD-10760	-5.976784706115723	-655.8067626953125	-511.24689296
CPD-10762	-3.327584743499756	-547.396240234375	-162.445653512
CPD-10773	-1.9886879920959473	-492.60595703125	-234.266523912
CPD-10774	-2.9236743450164795	-530.867431640625	-339.6520992
CPD-10775	-1.9886879920959473	-492.60595703125	-234.266523912
CPD-10776	-2.9236743450164795	-530.867431640625	-339.6520992
CPD-10781	-2.477808952331543	-512.6217651367188	12.863977868
CPD-10784	-1.6426606178283691	-478.4458312988281	172.02331904
CPD-10792	-3.4794907569885254	-553.612548828125	-226.000592592
CPD-10796	-1.823556900024414	-485.8484802246094	-165.871424848
CPD-10797	-1.1021265983581543	-456.32611083984375	-0.68708710784
CPD-10799	-1.2996714115142822	-464.4100341796875	109.4639
CPD-108	1.6079237461090088	-345.42547607421875	295.55345048
CPD-10801	-3.382566213607788	-549.646240234375	-181.779641368
CPD-10803	-2.56693172454834	-516.2688598632812	-22.620277184
CPD-10806	-0.2747216820716858	-422.4670715332031	520.48098096
CPD-10807	3.0619027614593506	-285.92578125	-40.984451496
CPD-10814	-2.045323610305786	-494.923583984375	122.605626432
CPD-10819	-2.554863214492798	-515.7749633789062	103.27501088
CPD-10823	-1.9715840816497803	-491.9060363769531	-259.42563556
CPD-10824	-1.981313705444336	-492.30419921875	-304.57101648
CPD-10825	-1.9816632270812988	-492.3184814453125	-340.42789648
CPD-10826	-2.9387192726135254	-531.4830932617188	-456.09482752
CPD-10829	1.1211369037628174	-365.34576416015625	572.71098264
CPD-10830	0.591270923614502	-387.0289306640625	593.46830872
CPD-10831	0.6097917556762695	-386.2710266113281	593.46830872
CPD-10834	-1.9719488620758057	-491.92095947265625	-384.49478864
CPD-10835	2.1093273162841797	-324.9070739746094	501.53174956
CPD-10879	-3.2334840297698975	-543.5454711914062	-378.46321792
CPD-1088	-3.020876884460449	-534.8451538085938	-509.94290752
CPD-10883	-3.362520217895508	-548.825927734375	-368.3492138
CPD-10888	0.6657739281654358	-383.9801330566406	374.68226264
CPD-109	1.6040897369384766	-345.5823974609375	295.55345048
CPD-10901	-2.8905246257781982	-529.5109252929688	204.728149168
CPD-10902	-1.1028265953063965	-456.3547668457031	-6.2518152248
CPD-10906	-1.7105884552001953	-481.2255859375	225.652839432
CPD-10907	-1.414731740951538	-469.1185302734375	284.43802688
CPD-1091	-2.696904420852661	-521.5875854492188	-472.5261068
CPD-1092	1.6478466987609863	-343.7917785644531	553.53889048
CPD-1093	-2.0025455951690674	-493.17303466796875	-175.974048488
CPD-110	-1.0254313945770264	-453.1875915527344	-173.579340272
CPD-11021	3.896059274673462	-251.79046630859375	406.21083648
CPD-1105	-3.4008867740631104	-550.3959350585938	-172.491186472
CPD-111	-0.2402932345867157	-421.0581970214844	130.36913048
CPD-1112	-2.172847270965576	-500.1421203613281	-221.221033664
CPD-1114	-3.790900707244873	-566.3560791015625	-586.22852432
CPD-1116	-3.054149627685547	-536.206787109375	-253.498091632
CPD-1117	-3.790900707244873	-566.3560791015625	-586.22852432
CPD-11172	-0.08184796571731567	-414.5743103027344	92.27671836
CPD-112	1.6219322681427002	-344.85223388671875	295.55345048
CPD-11237	0.7696827054023743	-379.72796630859375	659.7893948
CPD-11245	-1.8004815578460693	-484.9041748046875	-259.634864848
CPD-11249	-3.6300437450408936	-559.7734985351562	-572.33571968
CPD-11250	-3.635012149810791	-559.976806640625	-479.60890752
CPD-1126	-3.1010513305664062	-538.1260986328125	-365.32269648
CPD-1127	-3.4822142124176025	-553.7239990234375	-60.244587568
CPD-11271	-0.953042209148407	-450.22528076171875	603.58061832
CPD-1128	-1.4631803035736084	-471.10113525390625	-213.113433272
CPD-1130	-3.026899814605713	-535.0916748046875	-496.428604256
CPD-1131	-0.9869133830070496	-451.6113586425781	-133.62214864
CPD-1132	-0.16637545824050903	-418.0333251953125	227.4985148
CPD-1133	-2.858891487121582	-528.2164306640625	-344.64043136
CPD-1134	-2.9004249572753906	-529.916015625	-469.169593216
CPD-1135	2.0882842540740967	-325.7681884765625	-293.0837608
CPD-1136	-3.646348237991333	-560.440673828125	-730.03662096
CPD-11435	2.7383525371551514	-299.1661071777344	234.388064928
CPD-11495	-1.0966298580169678	-456.1011657714844	-74.367328112
CPD-11497	-2.087343215942383	-496.64312744140625	59.59457388
CPD-11499	-2.43847393989563	-511.0120849609375	-388.01403472
CPD-11551	-2.68713641166687	-521.1878662109375	-310.3735132
CPD-11571	-1.6601412296295166	-479.16119384765625	53.736969696
CPD-11572	-1.1662378311157227	-458.9496765136719	-104.57188352
CPD-11573	-1.1699285507202148	-459.1007080078125	-51.802279728
CPD-11611	-3.8133301734924316	-567.27392578125	-397.59112704
CPD-11613	-3.8133301734924316	-567.27392578125	-397.59112704
CPD-11619	-0.6232720613479614	-436.7304382324219	198.498658512
CPD-11621	0.8443852066993713	-376.6709899902344	361.45688968
CPD-11622	-0.9904565215110779	-451.75634765625	168.076317536
CPD-11623	-1.0991184711456299	-456.2030029296875	226.568633352
CPD-11624	-0.48138225078582764	-430.9240417480469	430.28837576
CPD-11625	-0.48138225078582764	-430.9240417480469	430.28837576
CPD-11627	-0.6007511615753174	-435.808837890625	198.498658512
CPD-11632	-0.5077928900718689	-432.0047912597656	793.4552244
CPD-11636	2.810964345932007	-296.1947021484375	195.175370072
CPD-11638	-1.486386775970459	-472.0508117675781	182.804746472
CPD-11639	-0.0880495011806488	-414.82806396484375	460.71074184
CPD-11640	-0.5077928900718689	-432.0047912597656	793.4552244
CPD-11706	2.0412490367889404	-327.6929626464844	9.93484524
CPD-11757	-1.6708271503448486	-479.59844970703125	93.940498512
CPD-11758	0.5446200370788574	-388.93798828125	461.839643616
CPD-11764	3.5953190326690674	-264.09735107421875	492.83373656
CPD-11770	-3.7499680519104004	-564.6810302734375	44.875755592
CPD-11771	-3.8470818996429443	-568.6551513671875	-410.166582544
CPD-11842	-3.6636853218078613	-561.150146484375	-630.67005184
CPD-11853	-3.394580125808716	-550.1378173828125	-584.13464152
CPD-11855	-3.8425378799438477	-568.4691772460938	-703.62963968
CPD-11863	-3.268649101257324	-544.9844970703125	-521.80237184
CPD-11875	-1.6478567123413086	-478.6584777832031	291.723647
CPD-11876	-1.953054666519165	-491.14776611328125	13.310165904
CPD-11878	-2.0447025299072266	-494.898193359375	-87.649766648
CPD-11879	-2.8420729637145996	-527.5281372070312	-398.71105832
CPD-11882	-1.1930997371673584	-460.0489196777344	191.386636736
CPD-11895	-2.904191732406616	-530.0701904296875	-296.01302104
CPD-11896	-2.9342217445373535	-531.299072265625	-323.6273792
CPD-11897	-2.9342217445373535	-531.299072265625	-323.6273792
CPD-11898	-1.1614048480987549	-458.75189208984375	68.54831296
CPD-11899	-2.907748222351074	-530.2156982421875	-249.728558672
CPD-11912	-2.0673134326934814	-495.823486328125	-79.314238672
CPD-11913	-2.0673134326934814	-495.823486328125	-79.314238672
CPD-11953	0.7374347448348999	-381.0476379394531	521.346274
CPD-11955	-2.9898159503936768	-533.5740966796875	94.852037304
CPD-11959	-1.1554920673370361	-458.50994873046875	369.43460616
CPD-11963	1.751030683517456	-339.56927490234375	428.61944092
CPD-11964	-2.950357675552368	-531.9594116210938	2.125183304
CPD-11971	-3.7210142612457275	-563.4962158203125	-157.03418088
CPD-12004	2.377553939819336	-313.9306945800781	94.437913352
CPD-12010	2.3851981163024902	-313.6178894042969	102.0109408
CPD-12043	-2.9054222106933594	-530.1205444335938	-330.154444304
CPD-12044	-2.9054222106933594	-530.1205444335938	-330.154444304
CPD-12045	-2.9054222106933594	-530.1205444335938	-330.154444304
CPD-12046	-2.9054222106933594	-530.1205444335938	-330.154444304
CPD-12047	-2.9342217445373535	-531.299072265625	-323.6273792
CPD-12049	-2.9342217445373535	-531.299072265625	-323.6273792
CPD-12077	3.0839831829071045	-285.022216796875	-68.09206868
CPD-12097	-2.958780527114868	-532.3040771484375	-177.219830304
CPD-121	-1.1459758281707764	-458.1205139160156	-68.342363928
CPD-12101	-2.9825804233551025	-533.2780151367188	-98.17467304
CPD-12111	-0.8394612073898315	-445.57733154296875	-26.791306784
CPD-12149	-0.7432420253753662	-441.6398620605469	203.57067904
CPD-12150	-0.7494691014289856	-441.8946838378906	203.57067904
CPD-12151	-1.5936715602874756	-476.44110107421875	146.44039748
CPD-12175	0.7835538387298584	-379.16033935546875	-209.050321584
CPD-12176	0.7835538387298584	-379.16033935546875	-209.050321584
CPD-12177	1.1228530406951904	-365.2755432128906	-255.33468772
CPD-122	-1.1459758281707764	-458.1205139160156	-68.342363928
CPD-12210	4.220459461212158	-238.51536560058594	331.22966536
CPD-12218	-1.2512197494506836	-462.42730712890625	24.3844620392
CPD-12220	-1.028644323348999	-453.319091796875	-26.335008112
CPD-12224	0.5052744150161743	-390.548095703125	510.22076696
CPD-12247	-2.61335825920105	-518.168701171875	-204.211308016
CPD-12249	-2.900738477706909	-529.9288940429688	-132.492891224
CPD-12252	-0.3487202525138855	-425.4952392578125	-39.40824874
CPD-12253	0.656653881072998	-384.35333251953125	-209.050321584
CPD-12255	-0.6152024865150452	-436.40020751953125	-125.896191808
CPD-12275	1.0855114459991455	-366.80364990234375	187.164746432
CPD-12276	2.371108293533325	-314.1944580078125	102.0109408
CPD-12277	0.3539949655532837	-396.7387390136719	262.1420348
CPD-12278	-2.2873685359954834	-504.82855224609375	-344.87699472
CPD-12279	3.7238693237304688	-258.8368225097656	-312.92056504
CPD-12296	-1.137662649154663	-457.78033447265625	261.803348368
CPD-123	0.5039477944374084	-390.6023864746094	-3.0727312736
CPD-12312	-2.1762709617614746	-500.2822265625	204.547124224
CPD-12318	2.449831008911133	-310.9729919433594	162.11161132
CPD-12327	4.918424129486084	-209.95327758789062	338.85312256
CPD-12328	0.21900102496147156	-402.2629699707031	498.40778688
CPD-12339	-4.698187351226807	-603.4840087890625	-464.02367488
CPD-12349	-3.8167192935943604	-567.41259765625	-535.60204064
CPD-12373	-0.5845310688018799	-435.14508056640625	50.026422768
CPD-12374	-2.353696584701538	-507.5428466796875	-339.97753072
CPD-12377	9.665233612060547	-15.704437255859375	42.974370264
CPD-12383	-0.4690170884132385	-430.41802978515625	268.44583748
CPD-124	0.28997284173965454	-399.358642578125	154.985050144
CPD-1242	-3.7654972076416016	-565.3165283203125	-456.092835936
CPD-12424	-0.0762212723493576	-414.3440246582031	402.63138264
CPD-12425	0.05205903202295303	-409.09454345703125	496.1113148
CPD-12427	-2.022817850112915	-494.00262451171875	-106.873593968
CPD-12428	0.5350246429443359	-389.3306579589844	136.63105132
CPD-12429	-2.2396602630615234	-502.8762512207031	419.39156616
CPD-12430	-2.581460475921631	-516.8634033203125	145.16205996
CPD-12469	-0.601046621799469	-435.8209228515625	246.852426864
CPD-12479	-1.6521847248077393	-478.8355712890625	167.56907448
CPD-12480	-2.423798084259033	-510.4115295410156	47.037373168
CPD-12481	-2.544248342514038	-515.340576171875	-227.535484624
CPD-12482	-2.427138090133667	-510.5482177734375	-90.249030624
CPD-12483	-2.4024817943573	-509.5392150878906	-90.249030624
CPD-12484	2.5936951637268066	-305.0857849121094	162.62777048
CPD-12489	-2.54190731048584	-515.2448120117188	-227.535484624
CPD-12504	-4.7167768478393555	-604.2447509765625	-197.29831912
CPD-12505	-2.45493221282959	-511.68560791015625	184.323789512
CPD-12506	-2.453500509262085	-511.62701416015625	227.0842988
CPD-12507	-2.4363045692443848	-510.9233093261719	89.797836432
CPD-12515	-4.687213897705078	-603.0349731445312	-708.65228064
CPD-12521	-4.687214374542236	-603.0350341796875	-708.65228064
CPD-12523	-4.687213897705078	-603.0349731445312	-708.65228064
CPD-12524	-4.687213897705078	-603.0349731445312	-708.65228064
CPD-12536	-4.704848766326904	-603.7566528320312	-712.376208
CPD-12537	-4.704848766326904	-603.7566528320312	-712.376208
CPD-12538	-3.383399724960327	-549.6802978515625	-165.462066472
CPD-12539	-3.383399724960327	-549.6802978515625	-165.462066472
CPD-12541	-4.151340484619141	-581.10595703125	-245.028453904
CPD-12557	-4.151340484619141	-581.10595703125	-245.028453904
CPD-12560	0.8850545287132263	-375.0067443847656	0.3866963676
CPD-12561	0.9222151041030884	-373.4860534667969	8.2659074712
CPD-12574	4.2213134765625	-238.4804229736328	470.931015376
CPD-12576	-6.972900867462158	-696.56982421875	-1019.03805296
CPD-12577	-5.115686416625977	-620.5689086914062	-638.9327824
CPD-12595	-4.716296672821045	-604.22509765625	-785.14534016
CPD-12596	2.074312925338745	-326.3399353027344	439.81304256
CPD-12598	1.6347887516021729	-344.32611083984375	334.68786688
CPD-12601	-3.813330888748169	-567.27392578125	-397.59112704
CPD-12607	-2.8635358810424805	-528.406494140625	-217.6466592
CPD-12643	0.5724372863769531	-387.7996520996094	473.5177148
CPD-12651	-3.674558162689209	-561.5950927734375	-691.70523968
CPD-12682	-1.1590430736541748	-458.6552429199219	68.818574256
CPD-12683	-1.2823188304901123	-463.699951171875	152.92628784
CPD-12684	-0.8398621082305908	-445.59375	429.76711212
CPD-12695	-2.3878378868103027	-508.9399719238281	-257.426733744
CPD-12696	-2.8465332984924316	-527.710693359375	-482.57243472
CPD-12699	1.8381786346435547	-336.00299072265625	258.906321664
CPD-12700	1.8381786346435547	-336.00299072265625	258.906321664
CPD-12701	0.25629523396492004	-400.73681640625	320.40168256
CPD-12702	0.25629523396492004	-400.73681640625	320.40168256
CPD-12708	3.990003824234009	-247.94606018066406	8.5075840976
CPD-12709	2.438775062561035	-311.4254150390625	-256.269234328
CPD-12710	-3.008491039276123	-534.3383178710938	-154.39393044
CPD-12711	-1.3944542407989502	-468.28875732421875	-113.617934192
CPD-12713	3.1256604194641113	-283.31671142578125	87.5527104
CPD-12715	-2.75516939163208	-523.971923828125	-466.44807276
CPD-12738	-3.4949758052825928	-554.2462158203125	-596.11682256
CPD-12739	-3.4949758052825928	-554.2462158203125	-596.11682256
CPD-12740	-1.7031383514404297	-480.92071533203125	99.965491984
CPD-12741	-1.7031383514404297	-480.92071533203125	99.965491984
CPD-12763	1.6907057762145996	-342.03790283203125	388.15549576
CPD-12765	-0.2026757299900055	-419.518798828125	-116.323434112
CPD-12797	-1.080597162246704	-455.4450988769531	180.5446208
CPD-12798	-1.1609010696411133	-458.7312927246094	273.271458064
CPD-12810	-3.8137307167053223	-567.290283203125	-341.59983488
CPD-12811	-3.8137307167053223	-567.290283203125	-341.59983488
CPD-12825	-0.9010085463523865	-448.0959777832031	-208.734793592
